wave	rownum	serial	area	lr8	lr7	lr6	lr5	lr4	lr3	lr2	lr1	ll1	ll2	ll3	ll4	ll5	ll6	ll7	ll8
2	22	61078P	31	 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2	22	61080R	31	1	-	5	-	5	0	1	1	1	1	1	1	1	-	-	-
2	22	61081S	31	1	-	-	1	1	1	1	1	1	1	1	5	1	5	-	-
2	22	61083V	34	 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2	22	61084W	34	 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2	22	61085X	34	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
2	22	61086Y	34	-	0	-	1	0	0	1	0	0	1	0	0	0	0	-	-
2	22	61087Z	34	-	5	-	5	5	0	1	1	1	1	1	5	-	-	-	0
2	22	61088A	34	-	1	0	0	6	0	0	0	0	1	0	1	0	1	1	-
2	22	61089B	34	 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2	22	61090C	39	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
2	22	61091D	39	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
2	22	61092E	39	 	 	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2	22	61094G	39	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
2	22	61095H	39	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
2	22	61096J	39	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
2	22	61098L	39	0	0	-	1	1	0	0	0	0	0	1	1	1	-	1	-
2	22	61101P	42	 	 	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2	22	61102Q	42	3	-	3	-	3	-	3	3	2	2	1	3	6	-	-	-
2	22	61103R	42	-	-	-	-	-	-	2	-	-	-	3	-	-	-	-	-
2	22	61104S	42	1	1	-	5	5	1	1	1	1	1	1	1	-	-	1	1
2	22	61105T	42	 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2	22	61106V	47	 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2	22	61107W	47	 	 	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2	22	61110Z	47	-	-	-	1	1	1	1	1	1	1	1	1	-	-	-	-
2	22	61112B	47	-	-	-	-	-	1	-	-	-	-	1	-	-	-	-	-
2	22	61113C	47	1	-	-	0	0	0	0	0	0	0	0	1	1	1	1	-
2	22	61114D	47	-	1	5	-	1	0	0	1	0	0	0	1	-	-	0	-
